,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 10,1st Max Value PM 10,1st Max Hour PM 10,Arithmetic Mean PM 10
91,1,73,33.499722,-86.924167,2022-04-02,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
92,1,73,33.499722,-86.924167,2022-04-03,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
93,1,73,33.499722,-86.924167,2022-04-04,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
94,1,73,33.499722,-86.924167,2022-04-05,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
95,1,73,33.499722,-86.924167,2022-04-06,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
96,1,73,33.499722,-86.924167,2022-04-07,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
97,1,73,33.499722,-86.924167,2022-04-08,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
98,1,73,33.499722,-86.924167,2022-04-09,Alabama,Jefferson,Birmingham,8.0,9.0,23,9.0
99,1,73,33.499722,-86.924167,2022-04-10,Alabama,Jefferson,Birmingham,35.0,38.0,23,38.0
100,1,73,33.499722,-86.924167,2022-04-11,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
102,1,73,33.499722,-86.924167,2022-04-13,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
103,1,73,33.499722,-86.924167,2022-04-14,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
104,1,73,33.499722,-86.924167,2022-04-15,Alabama,Jefferson,Birmingham,16.0,17.0,23,17.0
105,1,73,33.499722,-86.924167,2022-04-16,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
106,1,73,33.499722,-86.924167,2022-04-17,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
107,1,73,33.499722,-86.924167,2022-04-18,Alabama,Jefferson,Birmingham,6.0,7.0,23,7.0
108,1,73,33.499722,-86.924167,2022-04-19,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
109,1,73,33.499722,-86.924167,2022-04-20,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
110,1,73,33.499722,-86.924167,2022-04-21,Alabama,Jefferson,Birmingham,25.0,27.0,23,27.0
111,1,73,33.499722,-86.924167,2022-04-22,Alabama,Jefferson,Birmingham,24.0,26.0,23,26.0
112,1,73,33.499722,-86.924167,2022-04-23,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
113,1,73,33.499722,-86.924167,2022-04-24,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
114,1,73,33.499722,-86.924167,2022-04-25,Alabama,Jefferson,Birmingham,22.0,24.0,23,24.0
115,1,73,33.499722,-86.924167,2022-04-26,Alabama,Jefferson,Birmingham,10.0,11.0,23,11.0
116,1,73,33.499722,-86.924167,2022-04-27,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
117,1,73,33.499722,-86.924167,2022-04-28,Alabama,Jefferson,Birmingham,28.0,30.0,23,30.0
118,1,73,33.499722,-86.924167,2022-04-29,Alabama,Jefferson,Birmingham,33.0,36.0,23,36.0
119,1,73,33.499722,-86.924167,2022-04-30,Alabama,Jefferson,Birmingham,22.0,24.0,23,24.0
120,1,73,33.499722,-86.924167,2022-05-01,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
121,1,73,33.499722,-86.924167,2022-05-02,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
122,1,73,33.499722,-86.924167,2022-05-03,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
123,1,73,33.499722,-86.924167,2022-05-04,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
124,1,73,33.499722,-86.924167,2022-05-05,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
125,1,73,33.499722,-86.924167,2022-05-06,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
126,1,73,33.499722,-86.924167,2022-05-07,Alabama,Jefferson,Birmingham,8.0,9.0,23,9.0
127,1,73,33.499722,-86.924167,2022-05-08,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
128,1,73,33.499722,-86.924167,2022-05-09,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
129,1,73,33.499722,-86.924167,2022-05-10,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
130,1,73,33.499722,-86.924167,2022-05-11,Alabama,Jefferson,Birmingham,27.0,29.0,23,29.0
131,1,73,33.499722,-86.924167,2022-05-12,Alabama,Jefferson,Birmingham,30.0,32.0,23,32.0
132,1,73,33.499722,-86.924167,2022-05-13,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
133,1,73,33.499722,-86.924167,2022-05-14,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
134,1,73,33.499722,-86.924167,2022-05-15,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
135,1,73,33.499722,-86.924167,2022-05-16,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
136,1,73,33.499722,-86.924167,2022-05-17,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
137,1,73,33.499722,-86.924167,2022-05-18,Alabama,Jefferson,Birmingham,44.0,47.0,23,47.0
138,1,73,33.499722,-86.924167,2022-05-19,Alabama,Jefferson,Birmingham,26.0,28.0,23,28.0
139,1,73,33.499722,-86.924167,2022-05-20,Alabama,Jefferson,Birmingham,23.0,25.0,23,25.0
140,1,73,33.499722,-86.924167,2022-05-21,Alabama,Jefferson,Birmingham,17.0,18.0,23,18.0
141,1,73,33.499722,-86.924167,2022-05-22,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
142,1,73,33.499722,-86.924167,2022-05-23,Alabama,Jefferson,Birmingham,13.0,14.0,23,14.0
143,1,73,33.499722,-86.924167,2022-05-24,Alabama,Jefferson,Birmingham,29.0,31.0,23,31.0
144,1,73,33.499722,-86.924167,2022-05-25,Alabama,Jefferson,Birmingham,12.0,13.0,23,13.0
145,1,73,33.499722,-86.924167,2022-05-26,Alabama,Jefferson,Birmingham,9.0,10.0,23,10.0
146,1,73,33.499722,-86.924167,2022-05-27,Alabama,Jefferson,Birmingham,11.0,12.0,23,12.0
