,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI CO,1st Max Value CO,1st Max Hour CO,Arithmetic Mean CO
112,1,73,33.485556,-86.915,2022-04-23,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.091667
113,1,73,33.485556,-86.915,2022-04-24,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.075
114,1,73,33.485556,-86.915,2022-04-25,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.0625
115,1,73,33.485556,-86.915,2022-04-26,Alabama,Jefferson,Fairfield,1.0,0.1,9,0.0625
116,1,73,33.485556,-86.915,2022-04-27,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.108333
117,1,73,33.485556,-86.915,2022-04-28,Alabama,Jefferson,Fairfield,3.0,0.3,1,0.216667
118,1,73,33.485556,-86.915,2022-04-29,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.1625
119,1,73,33.485556,-86.915,2022-04-30,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.079167
120,1,73,33.485556,-86.915,2022-05-01,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.058333
121,1,73,33.485556,-86.915,2022-05-02,Alabama,Jefferson,Fairfield,2.0,0.2,5,0.104167
122,1,73,33.485556,-86.915,2022-05-03,Alabama,Jefferson,Fairfield,5.0,0.4,21,0.129167
123,1,73,33.485556,-86.915,2022-05-04,Alabama,Jefferson,Fairfield,6.0,0.5,0,0.166667
124,1,73,33.485556,-86.915,2022-05-05,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.066667
125,1,73,33.485556,-86.915,2022-05-06,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.075
126,1,73,33.485556,-86.915,2022-05-07,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
127,1,73,33.485556,-86.915,2022-05-08,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
128,1,73,33.485556,-86.915,2022-05-09,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
129,1,73,33.485556,-86.915,2022-05-10,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.070833
130,1,73,33.485556,-86.915,2022-05-11,Alabama,Jefferson,Fairfield,3.0,0.3,3,0.195833
131,1,73,33.485556,-86.915,2022-05-12,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.145833
132,1,73,33.485556,-86.915,2022-05-13,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.041667
133,1,73,33.485556,-86.915,2022-05-14,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.079167
134,1,73,33.485556,-86.915,2022-05-15,Alabama,Jefferson,Fairfield,3.0,0.3,1,0.170833
135,1,73,33.485556,-86.915,2022-05-16,Alabama,Jefferson,Fairfield,2.0,0.2,3,0.091667
136,1,73,33.485556,-86.915,2022-05-17,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.083333
137,1,73,33.485556,-86.915,2022-05-18,Alabama,Jefferson,Fairfield,5.0,0.4,2,0.225
138,1,73,33.485556,-86.915,2022-05-19,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.120833
139,1,73,33.485556,-86.915,2022-05-20,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
140,1,73,33.485556,-86.915,2022-05-21,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
141,1,73,33.485556,-86.915,2022-05-22,Alabama,Jefferson,Fairfield,1.0,0.1,2,0.0375
