,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 2.5,1st Max Value PM 2.5,1st Max Hour PM 2.5,Arithmetic Mean PM 2.5
110,1,3,30.497478,-87.880258,2022-12-10,Alabama,Baldwin,Fairhope,29.0,7.0,0,7.0
111,1,3,30.497478,-87.880258,2022-12-13,Alabama,Baldwin,Fairhope,40.0,9.5,0,9.5
112,1,3,30.497478,-87.880258,2022-12-16,Alabama,Baldwin,Fairhope,31.0,7.4,0,7.4
113,1,3,30.497478,-87.880258,2022-12-19,Alabama,Baldwin,Fairhope,22.0,5.3,0,5.3
114,1,3,30.497478,-87.880258,2022-12-22,Alabama,Baldwin,Fairhope,15.0,3.5,0,3.5
115,1,3,30.497478,-87.880258,2023-01-10,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
116,1,3,30.497478,-87.880258,2023-01-11,Alabama,Baldwin,Fairhope,28.0,6.8,0,6.8
117,1,3,30.497478,-87.880258,2023-01-12,Alabama,Baldwin,Fairhope,23.0,5.4,0,5.4
118,1,3,30.497478,-87.880258,2023-01-13,Alabama,Baldwin,Fairhope,18.0,4.3,0,4.3
119,1,3,30.497478,-87.880258,2023-01-14,Alabama,Baldwin,Fairhope,20.0,4.9,0,4.9
120,1,3,30.497478,-87.880258,2023-01-15,Alabama,Baldwin,Fairhope,41.0,9.8,0,9.8
121,1,3,30.497478,-87.880258,2023-01-16,Alabama,Baldwin,Fairhope,20.0,4.7,0,4.7
122,1,3,30.497478,-87.880258,2023-01-17,Alabama,Baldwin,Fairhope,14.0,3.3,0,3.3
123,1,3,30.497478,-87.880258,2023-01-18,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
124,1,3,30.497478,-87.880258,2023-01-19,Alabama,Baldwin,Fairhope,25.0,6.1,0,6.1
125,1,3,30.497478,-87.880258,2023-01-20,Alabama,Baldwin,Fairhope,15.0,3.5,0,3.5
126,1,3,30.497478,-87.880258,2023-01-21,Alabama,Baldwin,Fairhope,19.0,4.6,0,4.6
127,1,3,30.497478,-87.880258,2023-01-22,Alabama,Baldwin,Fairhope,18.0,4.2,0,4.2
128,1,3,30.497478,-87.880258,2023-01-23,Alabama,Baldwin,Fairhope,18.0,4.3,0,4.3
129,1,3,30.497478,-87.880258,2023-01-24,Alabama,Baldwin,Fairhope,22.0,5.2,0,5.2
130,1,3,30.497478,-87.880258,2023-01-25,Alabama,Baldwin,Fairhope,13.0,3.1,0,3.1
131,1,3,30.497478,-87.880258,2023-01-26,Alabama,Baldwin,Fairhope,17.0,4.0,0,4.0
132,1,3,30.497478,-87.880258,2023-01-27,Alabama,Baldwin,Fairhope,19.0,4.5,0,4.5
133,1,3,30.497478,-87.880258,2023-01-28,Alabama,Baldwin,Fairhope,40.0,9.6,0,9.6
134,1,3,30.497478,-87.880258,2023-01-29,Alabama,Baldwin,Fairhope,27.0,6.5,0,6.5
135,1,3,30.497478,-87.880258,2023-01-30,Alabama,Baldwin,Fairhope,23.0,5.4,0,5.4
136,1,3,30.497478,-87.880258,2023-01-31,Alabama,Baldwin,Fairhope,16.0,3.9,0,3.9
137,1,3,30.497478,-87.880258,2023-02-01,Alabama,Baldwin,Fairhope,21.0,5.0,0,5.0
138,1,3,30.497478,-87.880258,2023-02-02,Alabama,Baldwin,Fairhope,24.0,5.7,0,5.7
139,1,3,30.497478,-87.880258,2023-02-03,Alabama,Baldwin,Fairhope,8.0,1.9,0,1.9
140,1,3,30.497478,-87.880258,2023-02-04,Alabama,Baldwin,Fairhope,34.0,8.2,0,8.2
141,1,3,30.497478,-87.880258,2023-02-05,Alabama,Baldwin,Fairhope,43.0,10.2,0,10.2
142,1,3,30.497478,-87.880258,2023-02-06,Alabama,Baldwin,Fairhope,31.0,7.5,0,7.5
143,1,3,30.497478,-87.880258,2023-02-07,Alabama,Baldwin,Fairhope,36.0,8.7,0,8.7
144,1,3,30.497478,-87.880258,2023-02-08,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
145,1,3,30.497478,-87.880258,2023-02-09,Alabama,Baldwin,Fairhope,16.0,3.8,0,3.8
146,1,3,30.497478,-87.880258,2023-02-10,Alabama,Baldwin,Fairhope,16.0,3.8,0,3.8
147,1,3,30.497478,-87.880258,2023-02-11,Alabama,Baldwin,Fairhope,8.0,1.9,0,1.9
148,1,3,30.497478,-87.880258,2023-02-12,Alabama,Baldwin,Fairhope,13.0,3.2,0,3.2
149,1,3,30.497478,-87.880258,2023-02-13,Alabama,Baldwin,Fairhope,18.0,4.4,0,4.4
150,1,3,30.497478,-87.880258,2023-02-14,Alabama,Baldwin,Fairhope,25.0,5.9,0,5.9
151,1,3,30.497478,-87.880258,2023-02-15,Alabama,Baldwin,Fairhope,24.0,5.8,0,5.8
152,1,3,30.497478,-87.880258,2023-02-16,Alabama,Baldwin,Fairhope,42.0,10.0,0,10.0
153,1,3,30.497478,-87.880258,2023-02-17,Alabama,Baldwin,Fairhope,17.0,4.0,0,4.0
154,1,3,30.497478,-87.880258,2023-02-18,Alabama,Baldwin,Fairhope,26.0,6.3,0,6.3
155,1,3,30.497478,-87.880258,2023-02-19,Alabama,Baldwin,Fairhope,43.0,10.2,0,10.2
156,1,3,30.497478,-87.880258,2023-02-20,Alabama,Baldwin,Fairhope,23.0,5.4,0,5.4
157,1,3,30.497478,-87.880258,2023-02-21,Alabama,Baldwin,Fairhope,21.0,5.0,0,5.0
158,1,3,30.497478,-87.880258,2023-02-22,Alabama,Baldwin,Fairhope,45.0,10.9,0,10.9
159,1,3,30.497478,-87.880258,2023-02-23,Alabama,Baldwin,Fairhope,32.0,7.7,0,7.7
160,1,3,30.497478,-87.880258,2023-02-24,Alabama,Baldwin,Fairhope,28.0,6.8,0,6.8
161,1,3,30.497478,-87.880258,2023-02-25,Alabama,Baldwin,Fairhope,52.0,12.4,0,12.4
162,1,3,30.497478,-87.880258,2023-02-26,Alabama,Baldwin,Fairhope,34.0,8.1,0,8.1
163,1,3,30.497478,-87.880258,2023-02-27,Alabama,Baldwin,Fairhope,42.0,10.0,0,10.0
164,1,3,30.497478,-87.880258,2023-02-28,Alabama,Baldwin,Fairhope,54.0,13.7,0,13.7
165,1,3,30.497478,-87.880258,2023-03-01,Alabama,Baldwin,Fairhope,36.0,8.7,0,8.7
166,1,3,30.497478,-87.880258,2023-03-02,Alabama,Baldwin,Fairhope,46.0,11.0,0,11.0
167,1,3,30.497478,-87.880258,2023-03-03,Alabama,Baldwin,Fairhope,55.0,14.0,0,14.0
168,1,3,30.497478,-87.880258,2023-03-04,Alabama,Baldwin,Fairhope,30.0,7.1,0,7.1
169,1,3,30.497478,-87.880258,2023-03-05,Alabama,Baldwin,Fairhope,53.0,13.0,0,13.0
171,1,3,30.497478,-87.880258,2023-03-07,Alabama,Baldwin,Fairhope,37.0,8.9,0,8.9
172,1,3,30.497478,-87.880258,2023-03-08,Alabama,Baldwin,Fairhope,60.0,16.2,0,16.2
173,1,3,30.497478,-87.880258,2023-03-09,Alabama,Baldwin,Fairhope,55.0,13.9,0,13.9
174,1,3,30.497478,-87.880258,2023-03-10,Alabama,Baldwin,Fairhope,43.0,10.3,0,10.3
175,1,3,30.497478,-87.880258,2023-03-11,Alabama,Baldwin,Fairhope,32.0,7.7,0,7.7
176,1,3,30.497478,-87.880258,2023-03-12,Alabama,Baldwin,Fairhope,29.0,7.0,0,7.0
177,1,3,30.497478,-87.880258,2023-03-13,Alabama,Baldwin,Fairhope,11.0,2.6,0,2.6
178,1,3,30.497478,-87.880258,2023-03-14,Alabama,Baldwin,Fairhope,23.0,5.5,0,5.5
179,1,3,30.497478,-87.880258,2023-03-15,Alabama,Baldwin,Fairhope,25.0,5.9,0,5.9
180,1,3,30.497478,-87.880258,2023-03-16,Alabama,Baldwin,Fairhope,34.0,8.1,0,8.1
181,1,3,30.497478,-87.880258,2023-03-17,Alabama,Baldwin,Fairhope,15.0,3.5,0,3.5
182,1,3,30.497478,-87.880258,2023-03-21,Alabama,Baldwin,Fairhope,57.0,15.1,0,15.1
184,1,3,30.497478,-87.880258,2023-03-23,Alabama,Baldwin,Fairhope,33.0,7.8,0,7.8
185,1,3,30.497478,-87.880258,2023-03-24,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
186,1,3,30.497478,-87.880258,2023-03-25,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
187,1,3,30.497478,-87.880258,2023-03-26,Alabama,Baldwin,Fairhope,27.0,6.4,0,6.4
188,1,3,30.497478,-87.880258,2023-03-27,Alabama,Baldwin,Fairhope,21.0,5.1,0,5.1
189,1,3,30.497478,-87.880258,2023-03-28,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
190,1,3,30.497478,-87.880258,2023-03-29,Alabama,Baldwin,Fairhope,24.0,5.8,0,5.8
191,1,3,30.497478,-87.880258,2023-03-30,Alabama,Baldwin,Fairhope,44.0,10.5,0,10.5
192,1,3,30.497478,-87.880258,2023-03-31,Alabama,Baldwin,Fairhope,48.0,11.6,0,11.6
193,1,3,30.497478,-87.880258,2023-04-01,Alabama,Baldwin,Fairhope,31.0,7.4,0,7.4
194,1,3,30.497478,-87.880258,2023-04-02,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
195,1,3,30.497478,-87.880258,2023-04-03,Alabama,Baldwin,Fairhope,40.0,9.5,0,9.5
